,Beli Langsung Siang,Beli Langsung Malam,Total Beli Langsung,Total Beli Antar,Merek AQUA,Merek DC,Total Penjualan,Total Pengeluaran,Hasil Pendapatan,Bulan,Kategori Penjualan,Kategori Pendapatan,cluster_kmeans,cluster_hierarchical
0,72,58,130,298,228,200,2399000,1090000,1309000,Jan 2023,2,1,2,0
1,30,18,48,331,250,129,2976000,80000,2896000,Jan 2023,2,2,1,2
2,20,19,39,220,139,120,1525000,451000,1074000,Jan 2023,1,1,0,1
3,21,20,41,278,170,149,2098000,450000,1648000,Jan 2023,2,1,1,2
4,28,32,60,160,125,95,1357000,69000,1288000,Jan 2023,1,1,0,1
5,30,30,60,320,195,185,2220000,80000,2140000,Jan 2023,2,2,1,2
6,30,12,42,325,200,167,2250000,535000,1715000,Feb 2023,2,1,1,2
7,32,30,62,143,122,83,1214000,1066000,148000,Feb 2023,1,0,0,1
8,20,28,48,396,245,199,2586000,309000,2277000,Feb 2023,2,2,1,2
9,40,18,58,321,263,166,2156000,75000,2081000,Feb 2023,2,2,1,2
10,31,35,66,269,110,225,2006000,207000,1799000,Feb 2023,2,1,1,2
11,30,27,57,318,125,250,2210000,612000,1598000,Feb 2023,2,1,1,2
12,29,40,69,189,158,100,1455000,390000,1065000,Feb 2023,1,1,0,1
13,33,22,55,314,119,250,2089000,261000,1828000,Feb 2023,2,1,1,2
14,30,19,49,287,120,219,1928000,520000,1408000,Feb 2023,2,1,1,2
15,36,30,66,283,196,153,1977000,310000,1667000,Feb 2023,2,1,1,2
16,30,26,56,266,150,172,2146000,290000,1856000,Feb 2023,2,1,1,2
17,31,23,54,322,226,150,2159000,755000,1404000,Feb 2023,2,1,1,2
18,30,30,60,246,150,156,1932000,1074000,858000,Feb 2023,2,0,1,2
19,33,30,63,196,120,139,1499000,60000,1439000,Feb 2023,1,1,0,1
20,40,28,68,325,200,183,2201000,913000,1288000,Feb 2023,2,1,1,2
21,38,17,55,327,152,230,2173000,100000,2073000,Feb 2023,2,2,1,2
22,31,36,67,306,250,123,2278000,472000,1806000,Feb 2023,2,1,1,2
23,42,31,73,213,166,120,1912000,224000,1688000,Feb 2023,1,1,0,1
24,20,24,44,230,120,154,1539000,40000,1499000,Feb 2023,1,1,0,1
25,31,30,61,289,225,125,1901000,875000,1026000,Feb 2023,2,1,1,2
26,30,30,60,212,150,122,1561000,245000,1316000,Feb 2023,1,1,0,1
27,30,12,42,277,114,205,2097000,370000,1727000,Feb 2023,2,1,1,2
28,30,22,52,234,166,120,1584000,100000,1484000,Feb 2023,1,1,0,1
29,26,24,50,285,129,206,1829000,460000,1369000,Feb 2023,2,1,1,2
30,25,37,62,250,187,125,1467000,86000,1381000,Feb 2023,2,1,1,2
31,42,40,82,298,220,160,2178000,723000,1455000,Feb 2023,2,1,2,2
32,29,39,68,331,199,200,2005000,125000,1880000,Feb 2023,2,1,1,2
33,36,12,48,220,148,120,2183000,832000,1351000,Feb 2023,1,1,0,1
34,36,28,64,278,180,162,2504000,923000,1581000,Mar 2023,2,1,1,2
35,32,33,65,160,105,120,1936000,396000,1540000,Mar 2023,1,1,0,1
36,20,42,62,300,176,186,2076000,151000,1925000,Mar 2023,2,1,1,2
37,27,35,62,325,198,189,2545000,685000,1860000,Mar 2023,2,1,1,2
38,33,17,50,143,80,113,2816000,491000,2325000,Mar 2023,0,2,0,1
39,22,43,65,396,250,211,2495000,321000,2174000,Mar 2023,2,2,1,2
40,47,21,68,321,185,204,1905000,456000,1449000,Mar 2023,2,1,1,2
41,20,40,60,269,263,166,1624000,330000,1294000,Mar 2023,2,1,1,2
42,41,22,63,318,195,186,1623000,461000,1162000,Mar 2023,2,1,1,2
43,27,44,71,189,125,135,2021000,1149000,872000,Mar 2023,1,0,0,1
44,31,35,66,314,197,183,2326000,664000,1662000,Mar 2023,2,1,1,2
45,37,35,72,287,179,180,3120000,4478000,-1358000,Mar 2023,2,0,2,0
46,36,36,72,283,205,150,2878000,316000,2562000,Mar 2023,2,2,1,2
47,31,24,55,266,150,171,1948000,769000,1179000,Mar 2023,2,1,1,2
48,41,27,68,322,150,240,2084000,390000,1694000,Mar 2023,2,1,1,2
49,33,23,56,246,152,150,2092000,181000,1911000,Mar 2023,2,1,1,2
50,26,24,50,196,120,126,2296000,250000,2046000,Mar 2023,1,2,0,1
51,32,42,74,325,200,199,2403000,613000,1790000,Mar 2023,2,1,1,2
52,31,33,64,327,190,201,2376000,833000,1543000,Mar 2023,2,1,1,2
53,33,22,55,306,186,175,2472000,390000,2082000,Mar 2023,2,2,1,2
54,33,22,55,213,129,139,2559000,1170000,1389000,Mar 2023,1,1,0,1
55,41,42,83,230,166,147,2097000,1581000,516000,Mar 2023,2,0,2,0
56,37,24,61,289,180,170,1599000,465000,1134000,Mar 2023,2,1,1,2
57,20,35,55,212,120,147,2096000,507000,1589000,Mar 2023,1,1,0,1
58,30,40,70,277,172,175,2067000,760000,1307000,Mar 2023,2,1,1,2
59,30,27,57,234,114,177,1939000,175000,1764000,Mar 2023,1,1,0,1
60,26,31,57,285,168,174,1663000,294000,1369000,Mar 2023,2,1,1,2
61,20,21,41,250,129,162,1298000,476000,822000,Mar 2023,1,0,0,1
62,25,30,55,284,187,152,1879000,80000,1799000,Mar 2023,2,1,1,2
63,27,28,55,343,228,170,2279000,1353000,926000,Mar 2023,2,0,1,2
64,48,45,93,339,250,182,2410000,410000,2000000,Mar 2023,2,2,2,2
65,34,35,69,335,200,204,2759000,80000,2679000,Apr 2023,2,2,1,2
66,53,40,93,209,170,132,1639000,59000,1580000,Apr 2023,2,1,2,0
67,56,45,101,330,220,211,2916000,80000,2836000,Apr 2023,2,2,2,2
68,30,18,48,266,156,158,1746000,242000,1504000,Apr 2023,2,1,1,2
69,29,30,59,215,140,134,1537000,20000,1517000,Apr 2023,1,1,0,1
70,23,34,57,223,122,158,1536000,225000,1311000,Apr 2023,1,1,0,1
71,40,32,72,250,170,152,1754000,60000,1694000,Apr 2023,2,1,1,2
72,44,40,84,229,146,167,1945000,620000,1325000,Apr 2023,2,1,2,2
73,36,22,58,262,162,158,1754000,392000,1362000,Apr 2023,2,1,1,2
74,21,53,74,258,175,157,1969000,95000,1874000,Apr 2023,2,1,1,2
75,41,21,62,219,150,131,1739000,132000,1607000,Apr 2023,1,1,0,1
76,27,20,47,250,150,147,1688000,330000,1358000,Apr 2023,1,1,0,1
77,25,32,57,277,173,161,2034000,70000,1964000,Apr 2023,2,1,1,2
78,35,41,76,376,225,227,2905000,428000,2477000,Apr 2023,2,2,1,2
79,41,22,63,232,156,139,1746000,222000,1524000,Apr 2023,1,1,0,1
80,38,27,65,325,192,198,2315000,504000,1811000,Apr 2023,2,1,1,2
81,26,27,53,283,175,161,1976000,50000,1926000,Apr 2023,2,1,1,2
82,28,30,58,210,150,118,1623000,640000,983000,Apr 2023,1,0,0,1
83,38,32,70,220,140,150,1677000,389000,1288000,Apr 2023,1,1,0,1
84,58,28,86,297,190,193,2201000,100000,2101000,Apr 2023,2,2,2,0
85,32,40,72,347,212,207,2701000,130000,2571000,Apr 2023,2,2,1,2
86,35,42,77,281,147,211,2275000,307000,1968000,Apr 2023,2,1,1,2
87,25,12,37,171,102,106,1077000,125000,952000,Apr 2023,1,0,0,1
88,32,24,56,242,185,113,1684000,320000,1364000,Apr 2023,1,1,0,1
89,30,22,52,281,180,153,1876000,318000,1558000,Apr 2023,2,1,1,2
90,33,31,64,197,124,137,1530000,515000,1015000,Apr 2023,1,1,0,1
91,30,21,51,341,198,194,2162000,552000,1610000,Apr 2023,2,1,1,2
92,37,35,72,284,170,186,1967000,161000,1806000,Apr 2023,2,1,1,2
93,72,58,130,298,215,213,2399000,1090000,1309000,Apr 2023,2,1,2,0
94,30,18,48,331,250,129,2976000,80000,2896000,Apr 2023,2,2,1,2
95,20,19,39,220,139,120,1525000,451000,1074000,May 2023,1,1,0,1
96,21,20,41,278,170,149,2098000,450000,1648000,May 2023,2,1,1,2
97,28,32,60,160,125,95,1357000,69000,1288000,May 2023,1,1,0,1
98,30,30,60,320,195,185,2220000,80000,2140000,May 2023,2,2,1,2
99,30,12,42,325,200,167,2250000,535000,1715000,May 2023,2,1,1,2
100,32,30,62,143,122,83,1214000,1066000,148000,May 2023,1,0,0,1
101,20,28,48,396,245,199,2586000,309000,2277000,May 2023,2,2,1,2
102,40,18,58,321,263,166,2156000,75000,2081000,May 2023,2,2,1,2
103,31,35,66,269,110,225,2006000,207000,1799000,May 2023,2,1,1,2
104,30,27,57,318,125,250,2210000,612000,1598000,May 2023,2,1,1,2
105,29,40,69,189,158,100,1455000,390000,1065000,May 2023,1,1,0,1
106,33,22,55,314,119,250,2089000,261000,1828000,May 2023,2,1,1,2
107,30,19,49,287,120,219,1928000,520000,1408000,May 2023,2,1,1,2
108,36,30,66,283,196,153,1977000,310000,1667000,May 2023,2,1,1,2
109,30,26,56,266,150,172,2146000,290000,1856000,May 2023,2,1,1,2
110,31,23,54,322,226,150,2159000,755000,1404000,May 2023,2,1,1,2
111,30,30,60,246,150,156,1932000,1074000,858000,May 2023,2,0,1,2
112,33,30,63,196,120,139,1499000,60000,1439000,May 2023,1,1,0,1
113,40,28,68,325,200,183,2201000,913000,1288000,May 2023,2,1,1,2
114,38,17,55,327,152,230,2173000,100000,2073000,May 2023,2,2,1,2
115,31,36,67,306,250,123,2278000,472000,1806000,May 2023,2,1,1,2
116,42,31,73,213,166,120,1912000,224000,1688000,May 2023,1,1,0,1
117,20,24,44,230,120,154,1539000,40000,1499000,May 2023,1,1,0,1
118,31,30,61,289,225,125,1901000,875000,1026000,May 2023,2,1,1,2
119,30,30,60,212,150,122,1561000,245000,1316000,May 2023,1,1,0,1
120,30,12,42,277,114,205,2097000,370000,1727000,May 2023,2,1,1,2
121,30,22,52,234,166,120,1584000,100000,1484000,May 2023,1,1,0,1
122,26,24,50,285,129,206,1829000,460000,1369000,May 2023,2,1,1,2
123,25,37,62,250,187,125,1467000,86000,1381000,May 2023,2,1,1,2
124,25,18,43,122,83,82,1032000,210000,822000,May 2023,0,0,0,1
125,36,15,51,170,111,110,1143000,173000,970000,May 2023,1,0,0,1
126,25,24,49,160,105,104,1166000,30000,1136000,Jun 2023,1,1,0,1
127,40,24,64,163,114,113,1222000,388000,834000,Jun 2023,1,0,0,1
128,60,27,87,341,214,214,1695000,1437000,258000,Jun 2023,2,0,2,0
129,41,9,50,321,186,185,2099000,119000,1980000,Jun 2023,2,1,1,2
130,30,30,60,143,102,101,1232000,480000,752000,Jun 2023,1,0,0,1
131,20,15,35,201,118,118,1350000,85000,1265000,Jun 2023,1,1,0,1
132,36,21,57,187,122,122,1413000,150000,1263000,Jun 2023,1,1,0,1
133,54,16,70,353,212,211,2582000,258000,2324000,Jun 2023,2,2,1,2
134,46,32,78,200,139,139,1783000,169000,1614000,Jun 2023,1,1,0,1
135,30,23,53,270,162,161,1777000,330000,1447000,Jun 2023,2,1,1,2
136,28,22,50,215,133,132,1472000,160000,1312000,Jun 2023,1,1,0,1
137,45,15,60,254,157,157,1814000,156000,1658000,Jun 2023,2,1,1,2
138,36,24,60,292,176,176,2059000,505000,1554000,Jun 2023,2,1,1,2
139,37,19,56,236,146,146,1624000,320000,1304000,Jun 2023,1,1,0,1
140,64,24,88,258,173,173,2148000,1388000,760000,Jun 2023,2,0,2,0
141,56,18,74,180,127,127,1529000,507000,1022000,Jun 2023,1,1,0,0
142,37,28,65,277,171,171,2037000,205000,1832000,Jun 2023,2,1,1,2
143,32,21,53,280,167,166,1733000,333000,1400000,Jun 2023,2,1,1,2
144,43,28,71,170,121,120,1410000,260000,1150000,Jun 2023,1,1,0,1
145,31,12,43,301,172,172,1979000,310000,1669000,Jun 2023,2,1,1,2
146,44,25,69,212,141,140,1474000,150000,1324000,Jun 2023,1,1,0,1
147,40,21,61,229,145,145,1793000,207000,1586000,Jun 2023,1,1,0,1
148,48,39,87,144,116,115,1357000,30000,1327000,Jun 2023,1,1,0,0
149,42,24,66,247,157,156,1783000,80000,1703000,Jun 2023,2,1,1,2
150,36,18,54,252,153,153,1691000,45000,1646000,Jun 2023,2,1,1,2
151,37,20,57,222,140,139,1675000,270000,1405000,Jun 2023,1,1,0,1
152,47,20,67,256,162,161,1721000,732000,989000,Jun 2023,2,0,1,2
153,32,15,47,256,151,152,1780000,50000,1730000,Jun 2023,2,1,1,2
154,27,24,51,192,121,122,1301000,270000,1031000,Jun 2023,1,1,0,1
155,56,30,86,260,173,173,1987000,319000,1668000,Jun 2023,2,1,2,0
156,29,41,70,265,167,168,1932000,54000,1878000,Jul 2023,2,1,1,2
157,42,13,55,266,160,161,1786000,953000,833000,Jul 2023,2,0,1,2
158,17,27,44,231,137,138,1715000,195000,1520000,Jul 2023,1,1,0,1
159,35,38,73,231,152,152,2076000,431000,1645000,Jul 2023,2,1,1,2
160,35,32,67,215,141,141,1589000,457000,1132000,Jul 2023,1,1,0,1
161,50,33,83,193,138,138,1530000,1245000,285000,Jul 2023,1,0,2,0
162,48,30,78,269,173,174,1984000,49000,1935000,Jul 2023,2,1,1,0
163,40,28,68,240,154,154,1721000,53000,1668000,Jul 2023,2,1,1,2
164,40,20,60,262,161,161,1868000,406000,1462000,Jul 2023,2,1,1,2
165,41,22,63,265,164,164,1989000,121000,1868000,Jul 2023,2,1,1,2
166,38,26,64,280,172,172,1980000,780000,1200000,Jul 2023,2,1,1,2
167,26,34,60,235,147,148,1674000,286000,1388000,Jul 2023,1,1,0,1
168,31,30,61,264,162,163,1914000,145000,1769000,Jul 2023,2,1,1,2
169,66,25,91,188,139,140,1598000,454000,1144000,Jul 2023,1,1,2,0
170,46,26,72,334,203,203,2235000,1067000,1168000,Jul 2023,2,1,2,2
171,34,26,60,271,165,166,1922000,823000,1099000,Jul 2023,2,1,1,2
172,48,27,75,254,164,165,2044000,522000,1522000,Jul 2023,2,1,2,0
173,40,47,87,277,182,182,2305000,308000,1997000,Jul 2023,2,1,2,2
174,30,31,61,250,155,156,1764000,575000,1189000,Jul 2023,2,1,1,2
175,25,13,38,270,154,154,1806000,178000,1628000,Jul 2023,2,1,1,2
176,30,36,66,287,176,177,2220000,1347000,873000,Jul 2023,2,0,1,2
177,24,33,57,294,175,176,2122000,251000,1871000,Jul 2023,2,1,1,2
178,33,30,63,239,151,151,2229000,173500,2055500,Jul 2023,2,2,1,2
179,27,48,75,214,144,145,1963000,390000,1573000,Jul 2023,1,1,0,1
180,45,40,85,358,221,222,2468000,210000,2258000,Jul 2023,2,2,1,2
